year,ndvi,rainfall_mm,nightlights,vulnerability_score,risk_level,ndvi_change,rainfall_change,lights_change
2015,0.0825,197.4,0.5787,38.596199761012144,🟡 Moderate,,,
2016,0.089,186.6,0.5957,29.857362626985573,🟡 Moderate,7.878787878787863,-5.471124620060797,2.937618800760333
2017,0.0928,189.26,0.8184,35.199852170974204,🟡 Moderate,4.269662921348316,1.4255091103965611,37.38458955850261
2018,0.0933,213.85,0.8332,22.855556288263323,🟢 Low,0.5387931034482873,12.992708443411182,1.808406647116323
2019,0.0976,231.29,0.7749,0.0,🟢 Low,4.608788853161849,8.155249006312836,-6.9971195391262615
2020,0.0787,194.02,0.7948,64.35204133349423,🟠 High,-19.36475409836066,-16.11396947555017,2.5680732997806155
2021,0.0764,142.21,0.8355,98.32905549228369,🔴 Critical,-2.9224904701397825,-26.703432635810742,5.120785103170622
2022,0.0766,142.13,0.8655,100.0,🔴 Critical,0.2617801047120505,-0.05625483439983814,3.590664272890498
2023,0.0769,173.15,0.9594,90.47621773799534,🔴 Critical,0.3916449086161844,21.825089706606636,10.849220103986124
2024,0.0761,166.66,0.9989,98.34658043098075,🔴 Critical,-1.0403120936280819,-3.7481952064683854,4.117156556180945
2025,0.0805,204.33,1.0299,71.4709422852972,🟠 High,5.781865965834432,22.60290411616466,3.1034137551306573
